date,Region,Municipality,cases,deaths
2020-03-11,Central,Podgorica,0,0
2020-03-11,Central,Cetinje,0,0
2020-03-11,Central,Danilovgrad,0,0
2020-03-11,Central,Niksic,0,0
2020-03-11,Central,Tuzi,0,0
2020-03-11,Costal,Bar,0,0
2020-03-11,Costal,Budva,0,0
2020-03-11,Costal,Herceg Novi,0,0
2020-03-11,Costal,Kotor,0,0
2020-03-11,Costal,Tivat,0,0
2020-03-11,Costal,Ulcinj,0,0
2020-03-11,Northern,Andrijevica,0,0
2020-03-11,Northern,Berane,0,0
2020-03-11,Northern,Bijelo Polje,0,0
2020-03-11,Northern,Gusinje,0,0
2020-03-11,Northern,Kolasin,0,0
2020-03-11,Northern,Mojkovac,0,0
2020-03-11,Northern,Petnjica,0,0
2020-03-11,Northern,Plav,0,0
2020-03-11,Northern,Pluzine,0,0
2020-03-11,Northern,Pljevlja,0,0
2020-03-11,Northern,Rozaje,0,0
2020-03-11,Northern,Savnik,0,0
2020-03-11,Northern,Zabljak,0,0
2020-03-12,Central,Podgorica,0,0
2020-03-12,Central,Cetinje,0,0
2020-03-12,Central,Danilovgrad,0,0
2020-03-12,Central,Niksic,0,0
2020-03-12,Central,Tuzi,0,0
2020-03-12,Costal,Bar,0,0
2020-03-12,Costal,Budva,0,0
2020-03-12,Costal,Herceg Novi,0,0
2020-03-12,Costal,Kotor,0,0
2020-03-12,Costal,Tivat,0,0
2020-03-12,Costal,Ulcinj,0,0
2020-03-12,Northern,Andrijevica,0,0
2020-03-12,Northern,Berane,0,0
2020-03-12,Northern,Bijelo Polje,0,0
2020-03-12,Northern,Gusinje,0,0
2020-03-12,Northern,Kolasin,0,0
2020-03-12,Northern,Mojkovac,0,0
2020-03-12,Northern,Petnjica,0,0
2020-03-12,Northern,Plav,0,0
2020-03-12,Northern,Pluzine,0,0
2020-03-12,Northern,Pljevlja,0,0
2020-03-12,Northern,Rozaje,0,0
2020-03-12,Northern,Savnik,0,0
2020-03-12,Northern,Zabljak,0,0
2020-03-13,Central,Podgorica,0,0
2020-03-13,Central,Cetinje,0,0
2020-03-13,Central,Danilovgrad,0,0
2020-03-13,Central,Niksic,0,0
2020-03-13,Central,Tuzi,0,0
2020-03-13,Costal,Bar,0,0
2020-03-13,Costal,Budva,0,0
2020-03-13,Costal,Herceg Novi,0,0
2020-03-13,Costal,Kotor,0,0
2020-03-13,Costal,Tivat,0,0
2020-03-13,Costal,Ulcinj,0,0
2020-03-13,Northern,Andrijevica,0,0
2020-03-13,Northern,Berane,0,0
2020-03-13,Northern,Bijelo Polje,0,0
2020-03-13,Northern,Gusinje,0,0
2020-03-13,Northern,Kolasin,0,0
2020-03-13,Northern,Mojkovac,0,0
2020-03-13,Northern,Petnjica,0,0
2020-03-13,Northern,Plav,0,0
2020-03-13,Northern,Pluzine,0,0
2020-03-13,Northern,Pljevlja,0,0
2020-03-13,Northern,Rozaje,0,0
2020-03-13,Northern,Savnik,0,0
2020-03-13,Northern,Zabljak,0,0
2020-03-14,Central,Podgorica,0,0
2020-03-14,Central,Cetinje,0,0
2020-03-14,Central,Danilovgrad,0,0
2020-03-14,Central,Niksic,0,0
