date,Region,Municipality,cases,deaths,ncases,ndeaths
11/03/2020,Central,Podgorica,0,0,0,0
11/03/2020,Central,Cetinje,0,0,0,0
11/03/2020,Central,Danilovgrad,0,0,0,0
11/03/2020,Central,Niksic,0,0,0,0
11/03/2020,Central,Tuzi,0,0,0,0
11/03/2020,Costal,Bar,0,0,0,0
11/03/2020,Costal,Budva,0,0,0,0
11/03/2020,Costal,Herceg Novi,0,0,0,0
11/03/2020,Costal,Kotor,0,0,0,0
11/03/2020,Costal,Tivat,0,0,0,0
11/03/2020,Costal,Ulcinj,0,0,0,0
11/03/2020,Northern,Andrijevica,0,0,0,0
11/03/2020,Northern,Berane,0,0,0,0
11/03/2020,Northern,Bijelo Polje,0,0,0,0
11/03/2020,Northern,Gusinje,0,0,0,0
11/03/2020,Northern,Kolasin,0,0,0,0
11/03/2020,Northern,Mojkovac,0,0,0,0
11/03/2020,Northern,Petnjica,0,0,0,0
11/03/2020,Northern,Plav,0,0,0,0
11/03/2020,Northern,Pluzine,0,0,0,0
11/03/2020,Northern,Rozaje,0,0,0,0
11/03/2020,Northern,Savnik,0,0,0,0
11/03/2020,Northern,Zabljak,0,0,0,0
12/03/2020,Central,Podgorica,0,0,0,0
12/03/2020,Central,Cetinje,0,0,0,0
12/03/2020,Central,Danilovgrad,0,0,0,0
12/03/2020,Central,Niksic,0,0,0,0
12/03/2020,Central,Tuzi,0,0,0,0
12/03/2020,Costal,Bar,0,0,0,0
12/03/2020,Costal,Budva,0,0,0,0
12/03/2020,Costal,Herceg Novi,0,0,0,0
12/03/2020,Costal,Kotor,0,0,0,0
12/03/2020,Costal,Tivat,0,0,0,0
12/03/2020,Costal,Ulcinj,0,0,0,0
12/03/2020,Northern,Andrijevica,0,0,0,0
12/03/2020,Northern,Berane,0,0,0,0
12/03/2020,Northern,Bijelo Polje,0,0,0,0
12/03/2020,Northern,Gusinje,0,0,0,0
12/03/2020,Northern,Kolasin,0,0,0,0
12/03/2020,Northern,Mojkovac,0,0,0,0
12/03/2020,Northern,Petnjica,0,0,0,0
12/03/2020,Northern,Plav,0,0,0,0
12/03/2020,Northern,Pluzine,0,0,0,0
12/03/2020,Northern,Rozaje,0,0,0,0
12/03/2020,Northern,Savnik,0,0,0,0
12/03/2020,Northern,Zabljak,0,0,0,0
13/03/2020,Central,Podgorica,0,0,0,0
13/03/2020,Central,Cetinje,0,0,0,0
13/03/2020,Central,Danilovgrad,0,0,0,0
13/03/2020,Central,Niksic,0,0,0,0
13/03/2020,Central,Tuzi,0,0,0,0
13/03/2020,Costal,Bar,0,0,0,0
13/03/2020,Costal,Budva,0,0,0,0
13/03/2020,Costal,Herceg Novi,0,0,0,0
13/03/2020,Costal,Kotor,0,0,0,0
13/03/2020,Costal,Tivat,0,0,0,0
13/03/2020,Costal,Ulcinj,0,0,0,0
13/03/2020,Northern,Andrijevica,0,0,0,0
13/03/2020,Northern,Berane,0,0,0,0
13/03/2020,Northern,Bijelo Polje,0,0,0,0
13/03/2020,Northern,Gusinje,0,0,0,0
13/03/2020,Northern,Kolasin,0,0,0,0
13/03/2020,Northern,Mojkovac,0,0,0,0
13/03/2020,Northern,Petnjica,0,0,0,0
13/03/2020,Northern,Plav,0,0,0,0
13/03/2020,Northern,Pluzine,0,0,0,0
13/03/2020,Northern,Rozaje,0,0,0,0
13/03/2020,Northern,Savnik,0,0,0,0
13/03/2020,Northern,Zabljak,0,0,0,0
14/03/2020,Central,Podgorica,0,0,0,0
14/03/2020,Central,Cetinje,0,0,0,0
14/03/2020,Central,Danilovgrad,0,0,0,0
14/03/2020,Central,Niksic,0,0,0,0
14/03/2020,Central,Tuzi,0,0,0,0
14/03/2020,Costal,Bar,0,0,0,0
14/03/2020,Costal,Budva,0,0,0,0
14/03/2020,Costal,Herceg Novi,0,0,0,0
14/03/2020,Costal,Kotor,0,0,0,0
14/03/2020,Costal,Tivat,0,0,0,0
14/03/2020,Costal,Ulcinj,0,0,0,0
14/03/2020,Northern,Andrijevica,0,0,0,0
14/03/2020,Northern,Berane,0,0,0,0
14/03/2020,Northern,Bijelo Polje,0,0,0,0
14/03/2020,Northern,Gusinje,0,0,0,0
14/03/2020,Northern,Kolasin,0,0,0,0
14/03/2020,Northern,Mojkovac,0,0,0,0
14/03/2020,Northern,Petnjica,0,0,0,0
14/03/2020,Northern,Plav,0,0,0,0
14/03/2020,Northern,Pluzine,0,0,0,0
14/03/2020,Northern,Rozaje,0,0,0,0
14/03/2020,Northern,Savnik,0,0,0,0
14/03/2020,Northern,Zabljak,0,0,0,0
15/03/2020,Central,Podgorica,0,0,0,0
15/03/2020,Central,Cetinje,0,0,0,0
15/03/2020,Central,Danilovgrad,0,0,0,0
15/03/2020,Central,Niksic,0,0,0,0
15/03/2020,Central,Tuzi,0,0,0,0
15/03/2020,Costal,Bar,0,0,0,0
